time,BNB,ETH,BTC
2022-05-01,390.021697217157,2829.09136440678,38459.226979135
2022-05-02,389.85716419386,2861.52780946815,38566.0628877849
2022-05-03,383.042746438122,2780.92367007598,37704.4053153127
2022-05-04,402.241807717845,2936.76534658095,39641.852176505
2022-05-05,378.158023749116,2746.63528112215,36502.0245601403
2022-05-06,379.577677725104,2697.48142811221,36042.9995584453
2022-05-07,365.827414097927,2636.53088603156,35508.7110227937
2022-05-08,355.407995135773,2519.63678281707,34058.9066861484
2022-05-09,302.314391048538,2257.95058188194,30457.9218194039
2022-05-10,318.328242996333,2342.92739614261,30990.7351659848
2022-05-11,268.656598379372,2068.27522092344,28796.5568217417
2022-05-12,269.170977653833,1958.4534585038,29030.7070417884
2022-05-13,291.196180476825,2016.05178404442,29285.9346718293
2022-05-14,295.559422327949,2053.09169362946,30051.935755114
2022-05-15,311.21038254236,2138.96401139684,31182.6212460549
2022-05-16,297.268451328617,2022.61946464056,29889.6124757452
2022-05-17,306.217387396654,2092.88074547048,30438.1944476914
2022-05-18,288.817315546757,1921.00792752776,28771.2204786675
2022-05-19,306.421458578899,2016.37226154296,30257.8852483928
2022-05-20,302.715100236936,1962.03072969024,29224.245998422
2022-05-21,312.166736937219,1973.77449105786,29420.0782857978
2022-05-22,319.358331221368,2044.56454897721,30331.87514173
2022-05-23,317.174214630886,1970.62047516072,29088.2515419638
2022-05-24,327.916496571202,1977.80444576271,29643.6837556984
2022-05-25,326.24827961692,1944.32836265342,29577.259880187
2022-05-26,307.125908490312,1807.68160239626,29332.4860467563
2022-05-27,300.943034632489,1721.27814289889,28612.0413103448
2022-05-28,308.12481353083,1793.65815663355,29045.5206344243
2022-05-29,305.643043556436,1811.05755844535,29430.0689800117
2022-05-30,322.020862243688,1996.49929953244,31735.9549719462
2022-05-31,321.249835568573,1947.31703623612,31831.4095251315
2022-06-01,300.832324002449,1827.6371081239,29825.9221992987
2022-06-02,308.177794984541,1835.3889748685,30504.2679997078
2022-06-03,297.724002420809,1773.33450613676,29662.6709708942
2022-06-04,301.2293773096,1799.04830862069,29792.4076779077
2022-06-05,298.710099452844,1805.68905447107,29915.4093009936
2022-06-06,295.388478033981,1857.0548635301,31333.6770197545
2022-06-07,290.173228911539,1812.55737521917,31175.0324289889
2022-06-08,289.036946562523,1794.50157685564,30228.464698422
2022-06-09,289.524844908065,1787.18229456458,30064.4855289305
2022-06-10,285.992623596676,1662.50309760374,29070.4000300994
2022-06-11,269.713538520419,1529.50090531853,28360.7899231444
2022-06-12,256.698765420799,1449.37609070719,26830.2839456458
2022-06-13,220.740939390783,1192.1638591467,22316.2570400351
2022-06-14,222.230110919165,1205.54458474576,22072.8663085915
2022-06-15,232.189346899354,1228.52421186441,22520.7910087668
2022-06-16,208.908573308808,1062.05631794272,20310.1769848042
2022-06-17,216.077209626732,1087.0124880187,20464.9290873174
2022-06-18,197.201778671361,992.790097311514,19013.8672536528
2022-06-19,214.0927325725,1124.3688886616,20492.2951683226
2022-06-20,216.354127727952,1122.38415809468,20571.6292247224
2022-06-21,219.225330044245,1124.80054354179,20688.4651312098
2022-06-22,214.707598965148,1052.48545265926,20003.1683375219
2022-06-23,228.969736674656,1144.74839117475,21097.1028331385
2022-06-24,241.086685459835,1233.92042811221,21299.0769853887
2022-06-25,239.42027462321,1242.46349766219,21468.3431566335
2022-06-26,234.531021788066,1204.22064611338,21066.6209430158
2022-06-27,233.950518763433,1194.90176943308,20751.0516960842
2022-06-28,226.836273506359,1142.80152688486,20263.2196393922
2022-06-29,219.053457956614,1095.82495207481,20080.9480864991
2022-06-30,215.326739000662,1041.53905172414,19332.9121294565
2022-07-01,217.61034306929,1066.1029628872,19341.8631240795
2022-07-02,217.923790962472,1066.51756253653,19231.8317083577
2022-07-03,218.867094149871,1073.70227878434,19276.5146639392
2022-07-04,231.008473283659,1150.1623100526,20226.2984745763
2022-07-05,230.895159785168,1134.55701782583,20193.3427938048
2022-07-06,238.701971202816,1190.01984395091,20560.8438126826
2022-07-07,241.512243619107,1238.44509789597,21651.4191423144
2022-07-08,242.205428734331,1231.2732019287,21813.7871239042
2022-07-09,243.023694425979,1216.82491992987,21585.1321922852
2022-07-10,234.245181077228,1167.00219023963,20831.2733915839
2022-07-11,225.621796076375,1096.53821274109,19971.3294704851
2022-07-12,221.259595582195,1040.3091364699,19339.1534734074
2022-07-13,229.712634114066,1109.91739918177,20155.5278386908
2022-07-14,237.965252485911,1190.77715517241,20552.8990289304
2022-07-15,238.609189796881,1235.44640999416,20831.722700526
2022-07-16,249.600867963741,1352.58443950906,21196.5091428989
2022-07-17,248.439280290647,1345.29871186441,20827.8886085915
2022-07-18,263.535486941173,1568.5177969024,22305.7066428989
2022-07-19,268.897922585417,1545.68401548802,23371.2026601403
2022-07-20,258.417530033887,1523.17327171245,23280.9356680304
2022-07-21,265.333924411965,1578.50633021625,23152.4093112215
2022-07-22,262.420006900824,1536.58702454705,22706.0835554646
2022-07-23,259.479467932408,1550.44882115722,22484.4592317358
2022-07-24,262.352647040428,1603.32482787843,22653.3570260082
2022-07-25,247.937564275256,1461.68290911748,21510.1255874342
2022-07-26,248.122035177992,1431.20655336061,21181.6591967855
2022-07-27,270.06335359665,1632.34205330216,22898.4150683226
2022-07-28,276.843153178812,1724.61137200468,23838.5568838691
2022-07-29,295.433665993251,1746.07636090006,23950.7403798948
2022-07-30,287.030664381622,1692.89731209819,23623.4349611338
2022-07-31,283.487143317041,1682.69250409117,23356.1722215079
2022-08-01,283.665040731337,1635.83942051432,23331.4426969608
2022-08-02,284.667499516589,1640.55228550555,23031.4268834015
2022-08-03,297.751430417658,1616.22450905903,22809.7474418469
2022-08-04,310.405433239035,1606.95118293396,22628.3320821157
2022-08-05,314.641947497493,1725.62800490941,23248.9715023378
2022-08-06,315.252518303673,1695.53410169492,22996.2750452952
2022-08-07,323.053303623254,1697.48315371128,23153.6584713618
2022-08-08,324.635605691951,1776.06239567504,23803.6505154296
2022-08-09,325.442291086197,1703.99224897721,23186.2917464641
2022-08-10,328.034925285235,1850.82996142607,23923.0584830508
2022-08-11,323.337252699513,1878.11309555815,23934.4390561075
2022-08-12,327.175185002919,1954.77856107539,24396.3088462887
2022-08-13,324.036968378575,1981.2375414962,24426.2225748101
2022-08-14,317.894329095407,1936.33989158387,24314.2021315021
2022-08-15,319.066266369978,1901.74608649912,24083.9539748685
2022-08-16,316.244847212046,1876.61579427236,23868.8193530099
2022-08-17,306.531271266334,1833.20730216248,23336.3489310345
2022-08-18,298.520278222368,1849.20067504383,23221.1706028638
2022-08-19,279.675149494663,1615.85071274109,20906.7663141438
2022-08-20,283.23579562798,1575.83517270602,21146.6548021625
2022-08-21,302.206072450616,1621.43778018703,21553.9961717125
2022-08-22,300.24936096739,1607.93964377557,21301.0840581531
2022-08-23,299.238884230619,1663.88241525424,21534.5143521333
2022-08-24,296.488738333568,1658.74535037989,21424.9728232028
2022-08-25,301.469978345903,1695.09793629456,21587.8395844535
2022-08-26,279.091446171571,1508.81155990649,20246.1655733489
2022-08-27,277.696055936682,1492.86255990649,20043.9909485681
2022-08-28,277.227713618119,1440.91843746347,19673.5412188778
2022-08-29,285.587690712548,1550.2820458796,20270.960383986
2022-08-30,281.875914703939,1529.58784628872,19825.4632066043
2022-08-31,278.738495937262,1551.72922092344,20024.6716059614
2022-09-01,278.310537737957,1586.34916686148,20105.4626072472
2022-09-02,276.995427356859,1576.59604120397,19948.8567472823
2022-09-03,277.429567702976,1555.05634833431,19803.8332697253
2022-09-04,278.513023815558,1576.03008123904,19961.9118907072
2022-09-05,276.537422216473,1613.06100555231,19797.7967884278
2022-09-06,263.890391416519,1565.69543600234,18846.150537405
2022-09-07,278.496109164329,1633.8871465225,19292.9070745178
2022-09-08,280.55582443776,1634.5638766803,19319.1248512566
2022-09-09,293.018851937632,1717.52412244302,21363.3136152542
2022-09-10,297.518186304168,1779.75839479836,21715.2107980713
2022-09-11,294.664589742697,1758.45961922852,21732.7705686733
2022-09-12,293.423286414478,1710.77241729982,22365.2145601987
2022-09-13,277.095820751771,1574.04311630625,20165.0421607247
2022-09-14,279.329752830528,1633.75933313852,20246.3660424313
2022-09-15,270.601031095991,1472.5554792519,19696.8698661601
2022-09-16,274.356123768246,1430.06413968439,19741.5776168907
2022-09-17,279.287342648619,1469.37018877849,20120.7023459965
2022-09-18,266.496974855621,1337.85839099942,19427.1002626534
2022-09-19,272.345093164789,1379.44124693162,19557.9769582116
2022-09-20,266.392684613649,1323.40883226184,18872.9498667446
2022-09-21,264.043203876023,1249.1307238457,18506.7607481005
2022-09-22,275.394886784103,1328.6692653419,19414.5396449445
2022-09-23,276.713927174178,1330.95503302162,19326.8648199883
2022-09-24,275.305089396027,1317.0079465225,18924.7677872589
2022-09-25,273.940665569719,1294.54904383402,18793.1561531268
2022-09-26,275.653974530812,1334.38671420222,19201.1317209234
2022-09-27,272.382552375998,1330.5247402104,19106.7389135009
2022-09-28,281.849430697425,1339.13675394506,19454.937210111
2022-09-29,283.55283735207,1333.64239392168,19540.8664105786
2022-09-30,283.902539512426,1327.0759956166,19435.1946917008
2022-10-01,282.734685246321,1311.22253331385,19311.861629398
2022-10-02,284.372653068986,1276.55304675628,19015.2928050847
2022-10-03,287.182754344271,1324.40998334307,19633.4325859147
2022-10-04,296.369631706266,1362.84395236704,20339.9712811221
2022-10-05,294.0556355857,1352.55720689655,20155.0996987142
2022-10-06,285.275589896076,1351.3537402104,19950.5477957335
2022-10-07,282.801073847314,1332.54090561075,19539.1439216832
2022-10-08,276.291241177233,1315.45911864407,19416.1772291058
2022-10-09,277.91570506554,1320.93465400351,19428.3671323787
2022-10-10,272.095591431967,1292.04924693162,19154.4042346581
2022-10-11,271.048252370348,1278.54329719462,19039.2820683811
2022-10-12,271.020616017273,1294.63398918761,19156.9115645821
2022-10-13,271.821242551763,1288.20101256575,19387.8336806546
2022-10-14,269.362421114123,1297.32227849211,19177.6941031561
2022-10-15,268.490150768188,1274.99698947984,19069.8749272355
2022-10-16,272.468970089161,1305.60972296902,19261.7497878434
2022-10-17,275.701120674111,1332.3694792519,19557.0218106371
2022-10-18,273.42653843588,1311.29945967271,19341.4075543542
2022-10-19,271.647485474141,1284.66447399182,19132.1544254822
2022-10-20,268.992192079115,1281.90813793103,19033.3760239626
2022-10-21,269.954989234532,1299.87529164231,19174.8763487434
2022-10-22,270.425733755734,1314.30632261835,19207.6285078901
2022-10-23,276.018875732277,1363.86034102864,19565.4123243717
2022-10-24,273.75072578636,1344.55304383402,19341.460210111
2022-10-25,285.373490845794,1461.29032407949,20094.9611215663
2022-10-26,290.598994801277,1571.25949210988,20797.0308258328
2022-10-27,286.84744976005,1514.78292051432,20280.1751280538
2022-10-28,297.984717935118,1555.96761455289,20604.6138535944
2022-10-29,303.663510140495,1618.89496873174,20803.8999205143
2022-10-30,313.238959348285,1589.51054997078,20616.7033766803
2022-10-31,327.150616086521,1571.20387054354,20490.8581808884
2022-11-01,324.794674174938,1580.25594681473,20483.966530976
2022-11-02,320.112795912753,1519.57743717124,20148.2845537697
2022-11-03,329.161122380138,1529.79641525424,20198.1111860316
2022-11-04,353.709490149916,1644.7656364699,21157.2449275278
2022-11-05,348.987428142185,1627.35012068965,21283.4715999416
2022-11-06,341.899346164039,1574.97463471654,20946.8030359439
2022-11-07,336.552695090585,1567.4638132671,20568.5651183518
2022-11-08,326.800582701773,1331.86717884278,18520.971163647
2022-11-09,264.4314962704,1092.99871040327,15758.2912819988
2022-11-10,302.807914051462,1297.56088690824,17541.5602866745
2022-11-11,288.525976649607,1280.90110344828,16916.8506312098
2022-11-12,281.615464464131,1252.00409994156,16771.2426718293
2022-11-13,275.981915652774,1220.14754500292,16320.4983375219
2022-11-14,278.36550081124,1240.72447603741,16629.4784146698
2022-11-15,276.439788614241,1249.54837960257,16855.59378609
2022-11-16,271.728593167922,1214.79349853887,16659.6063345996
2022-11-17,267.539326061757,1199.72255055523,16675.1790204559
2022-11-18,273.3708289393,1209.4787565751,16661.5229576271
2022-11-19,272.284264444991,1218.60619929866,16696.0040581531
2022-11-20,263.716732673945,1139.64296113384,16246.8446992987
2022-11-21,253.966214557169,1107.64197720631,15778.0174047341
2022-11-22,266.189501277977,1134.7735163647,16172.8893445354
2022-11-23,297.635377044326,1183.16671361777,16574.0617299825
2022-11-24,300.145367813382,1202.6865,16583.5243445354
2022-11-25,300.438531045843,1199.06187580362,16522.3887767388
2022-11-26,311.274846534482,1204.81936440678,16448.6413077148
2022-11-27,307.963266054776,1196.86665049679,16436.0707688486
2022-11-28,293.335553758242,1168.91699678551,16212.5814161309
2022-11-29,296.109138357885,1217.08083810637,16443.0368199883
2022-11-30,301.111342244085,1298.03941963764,17176.8986914085
2022-12-01,291.791691131379,1275.71093571011,16961.2918042081
2022-12-02,293.027729299279,1292.87129018118,17075.1091370544
2022-12-03,290.53590785425,1240.93125043834,16899.5073831093
2022-12-04,292.022167349729,1280.03346960842,17121.7149824664
2022-12-05,288.25271472267,1258.52961747516,16961.3517866745
2022-12-06,290.123563322681,1270.18564289889,17070.5158281707
2022-12-07,284.431676795326,1232.55245441262,16848.2518243717
2022-12-08,290.391071329742,1281.63305201636,17231.4563223261
2022-12-09,286.103491720026,1263.20861864407,17136.1490008767
2022-12-10,288.060526056295,1266.7714421391,17124.2146797195
2022-12-11,284.496177094246,1263.06966656926,17094.3606592636
2022-12-12,276.716105098396,1274.78023495032,17195.5249962011
2022-12-13,272.015932101777,1320.40190677966,17774.9166320865
2022-12-14,268.167042734447,1308.14814056107,17809.7240835769
2022-12-15,257.796300780815,1264.12830508475,17344.0544569258
2022-12-16,230.066186890881,1164.54822443016,16606.1101750438
2022-12-17,241.699823740522,1187.08355902981,16774.3853702513
2022-12-18,252.118538679277,1187.40088690824,16776.1159254822
2022-12-19,240.791584302568,1167.13473611923,16424.1313857393
2022-12-20,251.803362065645,1217.78852659264,16901.8169362946
2022-12-21,246.34912828312,1212.37697340736,16800.5329707773
2022-12-22,245.799610029931,1216.84605055523,16814.2225791935
2022-12-23,246.115096449543,1219.86765049679,16780.5169798363
2022-12-24,244.563373893617,1220.58067533606,16837.612170076
2022-12-25,242.993487452641,1217.7824880187,16824.8389736996
2022-12-26,243.530553398586,1224.37791788428,16879.9382273524
2022-12-27,246.310638522676,1211.57558153127,16698.9112708942
2022-12-28,243.853149742226,1188.10792518995,16536.2942001753
2022-12-29,246.245763023064,1200.92096843951,16630.5931551724
2022-12-30,245.654118276528,1198.58331034483,16593.6888287551
2022-12-31,246.364297531866,1195.33087931034,16524.2178024547
2023-01-01,244.01544714732,1200.00591934541,16606.7520432496
2023-01-02,245.646416815303,1214.8377685564,16688.7192729398
2023-01-03,246.053717815254,1214.22573816482,16670.0773836937
2023-01-04,258.813210985922,1255.92211689071,16848.3660391584
2023-01-05,256.359968022939,1250.14810315605,16824.8001826417
2023-01-06,259.723656835333,1269.2522521917,16957.8622738165
2023-01-07,261.179618891976,1263.50416335476,16942.6285891292
2023-01-08,273.589781494448,1284.640028346,17059.2399444769
2023-01-09,272.46252982511,1320.62153097604,17182.3198521333
2023-01-10,277.27473046468,1335.65639655172,17433.9146320865
2023-01-11,283.891299828003,1380.51409789597,17833.7107656341
2023-01-12,287.400981640207,1417.14464611338,18869.7044842198
2023-01-13,293.507028117332,1449.88405055523,19868.7247454705
2023-01-14,305.608337614474,1551.58092372881,21010.9227200468
2023-01-15,301.875610050177,1552.31962039743,20876.0085561075
2023-01-16,299.053101300582,1577.95188194039,21180.4119485681
2023-01-17,300.226042270028,1570.19011279953,21178.2993962595
2023-01-18,287.796770302243,1519.97825832846,20709.6686040327
2023-01-19,294.640152320622,1550.32473816482,21071.8334152542
2023-01-20,304.713336636257,1658.07273027469,22660.7169421391
2023-01-21,299.670337800199,1628.12569403857,22803.172761543
2023-01-22,302.772463927581,1628.26689450614,22716.2771966686
2023-01-23,305.617954328735,1627.93555610754,22929.0248936295
2023-01-24,300.754741716687,1553.74205523086,22611.1268787259
2023-01-25,307.127126312338,1607.73188661601,23109.0845189947
2023-01-26,304.670732412973,1601.93506399766,23008.6894766219
2023-01-27,308.284159354044,1598.01924400935,23070.4964582116
2023-01-28,305.840093289148,1570.18742606663,23008.8094649328
2023-01-29,317.398597251301,1646.29684132087,23774.9963679135
2023-01-30,306.712391807462,1565.98836440678,22799.427261543
2023-01-31,312.116973861547,1584.82108328463,23130.0519132087
2023-02-01,317.473048128185,1641.90211075395,23727.2026075395
2023-02-02,324.337961471432,1646.33768264173,23505.6048430742
2023-02-03,331.960619900916,1665.60525014611,23445.8131773816
2023-02-04,330.840920221775,1671.04695207481,23355.5243863238
2023-02-05,327.832104764241,1631.12114172998,22957.2251905319
2023-02-06,324.698506966054,1614.27482232613,22745.1650371128
2023-02-07,333.28369026561,1672.72231092928,23266.2692036821
2023-02-08,328.025191780074,1650.23299795441,22937.5799453536
2023-02-09,305.735545236793,1545.6244585038,21818.1989456458
2023-02-10,305.935492328882,1514.2499868498,21620.5667837522
2023-02-11,310.762838802295,1540.18145032145,21864.8626414378
2023-02-12,313.400514858889,1513.77351841029,21772.1373252484
2023-02-13,293.571288242122,1506.22274605494,21798.7157168323
2023-02-14,296.334340512419,1557.42669579194,22222.415043834
2023-02-15,317.121374736817,1672.84323933372,24304.6129827586
2023-02-16,305.871011651925,1643.89578404442,23742.4488354763
2023-02-17,313.631843297217,1696.04581063705,24607.3356054939
2023-02-18,316.190843431363,1690.93641057861,24636.5266127995
2023-02-19,312.357828053078,1683.20734979544,24366.9907606663
2023-02-20,314.945402838221,1700.88487288136,24797.8430359439
2023-02-21,311.06303310115,1655.09468264173,24400.3893898305
2023-02-22,312.448698623415,1641.94119491525,24163.7389812975
2023-02-23,308.317446343296,1649.39288398597,23910.0342104033
2023-02-24,301.820834637341,1608.29904324956,23175.8242036821
2023-02-25,302.178662230615,1593.90391671537,23159.8154403857
2023-02-26,308.841430312889,1640.57851431911,23542.0964281122
2023-02-27,304.609219680181,1633.62932583285,23504.1894178843
2023-02-28,301.468841576651,1606.66273436587,23145.9491277031
2023-03-01,302.466413335966,1661.70797282291,23610.6590902981
2023-03-02,299.925668055813,1647.85497837522,23470.0254815897
2023-03-03,289.956413564635,1569.16893132671,22350.0962340736
2023-03-04,289.17685914822,1565.88301373466,22334.2852638808
2023-03-05,288.231897999253,1563.63009818819,22419.8171390999
2023-03-06,287.967375204723,1567.53606341321,22414.7033056692
2023-03-07,288.835787982708,1560.02789246055,22174.6484725307
2023-03-08,287.122411097305,1534.22761718293,21701.3846227352
2023-03-09,276.841524188649,1436.66890824079,20349.8141732905
2023-03-10,278.320719969854,1434.1492194623,20240.406694623
2023-03-11,277.170923686697,1477.24561835184,20585.2343290473
2023-03-12,289.207265446457,1586.49992781999,22065.9800359439
2023-03-13,308.602506297396,1677.88656078317,24154.4290946815
2023-03-14,309.560878876083,1706.89304383402,24769.0175691409
2023-03-15,307.165465869871,1655.43240093513,24409.8017518995
2023-03-16,330.06376166906,1677.25818614845,25043.2388468732
2023-03-17,339.239054583885,1791.02045382817,27450.6282933957
2023-03-18,331.929671002494,1764.36525336061,26985.7359915254
2023-03-19,338.416954305755,1801.75050058445,28185.2043319696
2023-03-20,333.952400404239,1737.37734073641,27834.3361090006
2023-03-21,335.681672473329,1805.09059409702,28172.7950558153
2023-03-22,322.250112091562,1738.26925452952,27341.5571297487
2023-03-23,330.006520225591,1819.24090590298,28387.8897495617
2023-03-24,322.371591882865,1751.13301110462,27464.1249453536
2023-03-25,322.463307825798,1742.46973699591,27488.954880187
2023-03-26,329.229701436276,1778.52934570427,28049.3916911163
2023-03-27,310.451825811218,1714.87305932203,27154.9963702513
2023-03-28,313.182631199612,1774.92046697838,27283.9634029807
2023-03-29,314.007191289024,1794.74885768556,28389.2917784921
2023-03-30,316.606832453141,1791.79660169492,28021.5583009936
2023-03-31,317.059210781217,1824.00190356517,28514.6813062537
2023-04-01,314.992848073423,1822.41595762712,28494.5638863238
2023-04-02,313.751653512257,1794.75583547633,28161.9980362361
2023-04-03,308.859047744471,1811.18531180596,27850.9799436002
2023-04-04,310.826385007297,1868.19117066043,28113.9585187025
2023-04-05,314.21495536495,1911.12547106955,28190.3116063705
2023-04-06,312.405281178506,1872.08796493279,28049.0744763296
2023-04-07,310.672562054606,1866.34243366452,27936.8042609585
2023-04-08,310.694722878891,1851.750106955,27964.0512498539
2023-04-09,313.072412417531,1861.1328395675,28357.8072703098
2023-04-10,318.1795747782,1912.11599473992,29687.5651846873
2023-04-11,322.938719315511,1891.72326592636,30247.0959193454
2023-04-12,320.187068798764,1921.77945996493,29913.0035463472
2023-04-13,324.714509696301,2010.86303623612,30370.82207218
2023-04-14,329.138797060312,2102.23098217417,30458.9700414962
2023-04-15,333.774002467194,2094.48822501461,30342.0591084161
2023-04-16,348.411204146279,2119.36738223261,30312.9308533022
2023-04-17,340.062959788146,2076.5863679135,29469.5050727645
2023-04-18,343.067604486796,2101.64348246639,30366.8723813559
2023-04-19,322.196796272469,1936.27672559907,28796.7440952659
2023-04-20,317.68989449187,1943.00065926359,28251.2763790181
2023-04-21,321.651468884487,1849.59096668615,27292.0211052016
2023-04-22,332.160418580542,1875.55641846873,27827.5475920514
2023-04-23,330.562541264682,1862.81730888369,27604.6855742256
2023-04-24,331.299938548234,1842.86772092344,27520.1996729982
2023-04-25,338.828827180008,1868.05564640561,28302.6942180012
2023-04-26,330.520493691424,1866.89703068381,28384.2340333139
2023-04-27,331.710892343415,1909.36528959673,29465.5514272355
2023-04-28,324.452744716486,1893.93526767972,29350.811886616
2023-04-29,321.899613513142,1905.84894038574,29221.5145075979
